"playernum","Game","whyplay","Weekly_Hours","Gender","Age","Work","Degree","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Residence_ISO3","motivation","occupation","styleofplay"
3256,"League of Legends","relaxing",13,"Male",25,"Employed","Bachelor (or equivalent)","Portugal","Multiplayer - online - with real life friends",8,17,14,"PRT","relaxing","Employed","Multiplayer - online - with real life friends"
3257,"League of Legends","improving",40,"Male",29,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",2,30,7,"USA","improving","Employed","Multiplayer - online - with online acquaintances or teammates"
3258,"League of Legends","having fun",50,"Male",20,"Unemployed / between jobs","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",1,20,42,"USA","having fun","Unemployed","Multiplayer - online - with online acquaintances or teammates"
3259,"League of Legends","winning",0,"Male",18,"Employed","High school diploma (or equivalent)","Australia","Multiplayer - online - with real life friends",7,13,41,"AUS","winning","Employed","Multiplayer - online - with real life friends"
3260,"League of Legends","winning",10,"Male",18,"Student at school","High school diploma (or equivalent)","Vietnam","Singleplayer",2,19,15,"VNM","winning","Student","Singleplayer"
3261,"League of Legends","having fun",31,"Male",18,"Employed","High school diploma (or equivalent)","Canada","Multiplayer - online - with real life friends",0,30,2,"CAN","having fun","Employed","Multiplayer - online - with real life friends"
3262,"League of Legends","having fun",14,"Male",19,"Student at college / university","High school diploma (or equivalent)","France","Multiplayer - online - with strangers",7,32,37,"FRA","having fun","Student","Multiplayer - online - with strangers"
3263,"League of Legends","having fun",17,"Male",18,"Student at school","None","Czech Republic","Multiplayer - online - with online acquaintances or teammates",3,24,22,"CZE","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
3264,"League of Legends","having fun",17,"Male",18,"Student at school","None","Czech Republic","Multiplayer - online - with online acquaintances or teammates",3,24,22,"CZE","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
3265,"League of Legends","improving",63,"Male",20,"Student at college / university","High school diploma (or equivalent)","New Zealand ","Multiplayer - online - with strangers",8,27,3,"NZL","improving","Student","Multiplayer - online - with strangers"
3266,"League of Legends","improving",40,"Male",20,"Unemployed / between jobs","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",15,11,NA,"USA","improving","Unemployed","Multiplayer - online - with online acquaintances or teammates"
3268,"League of Legends","having fun",23,"Male",26,"Student at college / university","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",3,20,4,"USA","having fun","Student","Multiplayer - online - with strangers"
3269,"League of Legends","improving",52,"Male",18,"Student at college / university","High school diploma (or equivalent)","Belgium","Multiplayer - online - with strangers",5,12,17,"BEL","improving","Student","Multiplayer - online - with strangers"
3270,"League of Legends","winning",48,"Male",19,"Student at school","High school diploma (or equivalent)","Germany","Multiplayer - online - with online acquaintances or teammates",6,11,44,"DEU","winning","Student","Multiplayer - online - with online acquaintances or teammates"
3271,"Starcraft 2","improving",24,"Male",20,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",3,23,16,"USA","improving","Student","Multiplayer - online - with strangers"
3272,"League of Legends","having fun",25,"Male",30,"Employed","Bachelor (or equivalent)","USA","multiplayer queued with friends against strangers",8,12,10,"USA","having fun","Employed","Other"
3273,"League of Legends","improving",47,"Male",20,"Unemployed / between jobs","None","USA","Multiplayer - online - with strangers",0,24,14,"USA","improving","Unemployed","Multiplayer - online - with strangers"
3274,"League of Legends","having fun",18,"Male",21,"Student at school","None","Portugal","Multiplayer - online - with real life friends",5,17,25,"PRT","having fun","Student","Multiplayer - online - with real life friends"
3275,"League of Legends","relaxing",24,"Male",18,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",2,20,11,"DEU","relaxing","Student","Multiplayer - online - with strangers"
3276,"League of Legends","winning",20,"Male",23,"Unemployed / between jobs","None","Norway","Multiplayer - online - with strangers",3,13,5,"NOR","winning","Unemployed","Multiplayer - online - with strangers"
3278,"League of Legends","having fun",27,"Male",19,"Employed","High school diploma (or equivalent)","Latvia","Multiplayer - online - with real life friends",9,28,23,"LVA","having fun","Employed","Multiplayer - online - with real life friends"
3281,"League of Legends","having fun",30,"Male",21,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",3,18,NA,"USA","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
3282,"League of Legends","improving",30,"Male",22,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",5,28,10,"DEU","improving","Student","Multiplayer - online - with real life friends"
3283,"League of Legends","improving",80,"Male",25,"Student at college / university","Bachelor (or equivalent)","France","Multiplayer - online - with strangers",3,12,3,"FRA","improving","Student","Multiplayer - online - with strangers"
3284,"League of Legends","winning",60,"Male",23,"Unemployed / between jobs","High school diploma (or equivalent)","Belgium","Singleplayer",0,15,2,"BEL","winning","Unemployed","Singleplayer"
3285,"League of Legends","winning",44,"Male",22,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",4,10,28,"DEU","winning","Student","Multiplayer - online - with strangers"
3286,"Other","having fun",30,"Male",19,"Student at college / university","High school diploma (or equivalent)","Netherlands","Singleplayer",6,31,22,"NLD","having fun","Student","Singleplayer"
3287,"League of Legends","winning",12,"Male",19,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",6,10,4,"USA","winning","Student","Multiplayer - online - with real life friends"
3288,"League of Legends","having fun",40,"Male",19,"Student at school","High school diploma (or equivalent)","Canada","Multiplayer - online - with strangers",3,24,11,"CAN","having fun","Student","Multiplayer - online - with strangers"
3289,"League of Legends","having fun",26,"Male",20,"Student at college / university","Bachelor (or equivalent)","Australia","Multiplayer - online - with online acquaintances or teammates",5,12,42,"AUS","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
3290,"League of Legends","having fun",20,"Female",22,"Student at college / university","High school diploma (or equivalent)","Portugal","Multiplayer - online - with strangers",4,17,39,"PRT","having fun","Student","Multiplayer - online - with strangers"
3291,"League of Legends","winning",22,"Male",20,"Employed","High school diploma (or equivalent)","Singapore","Multiplayer - online - with real life friends",0,18,26,"SGP","winning","Employed","Multiplayer - online - with real life friends"
3292,"Other","winning",33,"Male",20,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with strangers",2,28,16,"NLD","winning","Student","Multiplayer - online - with strangers"
3293,"League of Legends","having fun",30,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",8,16,31,"USA","having fun","Student","Multiplayer - online - with real life friends"
3294,"League of Legends","having fun",80,"Male",20,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",7,10,41,"DEU","having fun","Student","Multiplayer - online - with real life friends"
3295,"League of Legends","relaxing",37,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",2,14,19,"USA","relaxing","Student","Multiplayer - online - with online acquaintances or teammates"
3296,"League of Legends","having fun",40,"Male",18,"Employed","High school diploma (or equivalent)","UK","Multiplayer - online - with real life friends",4,18,15,"GBR","having fun","Employed","Multiplayer - online - with real life friends"
3297,"League of Legends","having fun",32,"Male",22,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with online acquaintances or teammates",4,15,20,"NLD","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
3298,"League of Legends","winning",30,"Male",42,"Employed","None","UK","Multiplayer - online - with strangers",13,22,0,"GBR","winning","Employed","Multiplayer - online - with strangers"
3299,"League of Legends","having fun",12,"Male",23,"Student at college / university","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",5,30,13,"USA","having fun","Student","Multiplayer - online - with real life friends"
3300,"League of Legends","having fun",22,"Male",20,"Student at college / university","High school diploma (or equivalent)","Brazil","Multiplayer - online - with strangers",1,15,12,"BRA","having fun","Student","Multiplayer - online - with strangers"
3301,"League of Legends","improving",23,"Male",19,"Student at college / university","High school diploma (or equivalent)","Sweden","Multiplayer - online - with real life friends",3,14,21,"SWE","improving","Student","Multiplayer - online - with real life friends"
3302,"Hearthstone","improving",30,"Male",32,"Employed","Master (or equivalent)","Vietnam","Multiplayer - online - with strangers",0,12,8,"VNM","improving","Employed","Multiplayer - online - with strangers"
3303,"League of Legends","having fun",30,"Male",18,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",17,10,26,"USA","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
3304,"League of Legends","having fun",37,"Male",24,"Student at college / university","Bachelor (or equivalent)","Slovenia","Multiplayer - online - with real life friends",4,25,5,"SVN","having fun","Student","Multiplayer - online - with real life friends"
3305,"Other","having fun",30,"Male",24,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",4,31,19,"USA","having fun","Employed","Multiplayer - online - with online acquaintances or teammates"
3306,"League of Legends","improving",50,"Male",21,"Student at college / university","High school diploma (or equivalent)","UK","Multiplayer - online - with online acquaintances or teammates",0,19,13,"GBR","improving","Student","Multiplayer - online - with online acquaintances or teammates"
3307,"League of Legends","having fun",60,"Male",23,"Employed","Bachelor (or equivalent)","France","Multiplayer - online - with strangers",0,19,18,"FRA","having fun","Employed","Multiplayer - online - with strangers"
3308,"Other","winning",20,"Male",25,"Unemployed / between jobs","Bachelor (or equivalent)","Taiwan","Singleplayer",4,13,13,"TWN","winning","Unemployed","Singleplayer"
3309,"League of Legends","having fun",28,"Male",18,"Unemployed / between jobs","High school diploma (or equivalent)","Brazil","Multiplayer - online - with real life friends",5,14,NA,"BRA","having fun","Unemployed","Multiplayer - online - with real life friends"
3310,"League of Legends","improving",33,"Male",21,"Employed","Bachelor (or equivalent)","UK","Multiplayer - online - with strangers",6,20,35,"GBR","improving","Employed","Multiplayer - online - with strangers"
3311,"League of Legends","improving",36,"Male",18,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with real life friends",4,23,8,"NLD","improving","Student","Multiplayer - online - with real life friends"
3312,"Other","having fun",26,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",17,20,23,"USA","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
3313,"League of Legends","Habit",35,"Male",24,"Student at college / university","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",3,21,4,"USA","Other","Student","Multiplayer - online - with strangers"
3314,"League of Legends","improving",25,"Male",31,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",20,7,53,"USA","improving","Employed","Multiplayer - online - with strangers"
3315,"League of Legends","improving",28,"Male",23,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",0,30,18,"USA","improving","Employed","Multiplayer - online - with strangers"
3316,"League of Legends","improving",37,"Male",18,"Student at school","None","USA","Multiplayer - online - with strangers",4,24,16,"USA","improving","Student","Multiplayer - online - with strangers"
3317,"League of Legends","winning",21,"Male",26,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",0,26,20,"USA","winning","Employed","Multiplayer - online - with strangers"
3318,"League of Legends","having fun",6,"Male",20,"Student at college / university","High school diploma (or equivalent)","Canada","Multiplayer - online - with real life friends",2,31,5,"CAN","having fun","Student","Multiplayer - online - with real life friends"
3319,"League of Legends","having fun",35,"Male",24,"Unemployed / between jobs","Bachelor (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",16,10,13,"USA","having fun","Unemployed","Multiplayer - online - with online acquaintances or teammates"
3320,"World of Warcraft","having fun",20,"Male",19,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",0,26,4,"DEU","having fun","Student","Multiplayer - online - with real life friends"
3321,"League of Legends","relaxing",32,"Female",25,"Unemployed / between jobs","High school diploma (or equivalent)","UK","With my partner",19,9,63,"GBR","relaxing","Unemployed","Other"
3322,"League of Legends","having fun",12,"Male",26,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",2,25,39,"USA","having fun","Employed","Multiplayer - online - with real life friends"
3323,"League of Legends","having fun",40,"Male",20,"Student at college / university","None","Turkey","Multiplayer - online - with strangers",21,11,16,"TUR","having fun","Student","Multiplayer - online - with strangers"
3324,"League of Legends","winning",30,"Male",25,"Employed","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with strangers",21,10,50,"NLD","winning","Employed","Multiplayer - online - with strangers"
3325,"League of Legends","having fun",16,"Male",18,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",8,21,24,"USA","having fun","Student","Multiplayer - online - with real life friends"
3326,"League of Legends","having fun",15,"Male",18,"Employed","High school diploma (or equivalent)","Germany","Multiplayer - online - with online acquaintances or teammates",3,22,12,"DEU","having fun","Employed","Multiplayer - online - with online acquaintances or teammates"
3327,"League of Legends","winning",32,"Male",18,"Student at school","High school diploma (or equivalent)","Sweden","Multiplayer - online - with real life friends",0,30,5,"SWE","winning","Student","Multiplayer - online - with real life friends"
3328,"League of Legends","having fun",17,"Male",18,"Student at school","High school diploma (or equivalent)","Portugal","Multiplayer - online - with real life friends",6,24,18,"PRT","having fun","Student","Multiplayer - online - with real life friends"
3329,"League of Legends","having fun",24,"Male",23,"Employed","Bachelor (or equivalent)","Ireland","Multiplayer - online - with real life friends",11,13,32,"IRL","having fun","Employed","Multiplayer - online - with real life friends"
3330,"League of Legends","improving",25,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",1,14,10,"USA","improving","Student","Multiplayer - online - with real life friends"
3331,"League of Legends","having fun",21,"Female",18,"Student at school","High school diploma (or equivalent)","Norway","Multiplayer - online - with real life friends",4,33,17,"NOR","having fun","Student","Multiplayer - online - with real life friends"
3332,"League of Legends","improving",18,"Male",20,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",0,22,24,"DEU","improving","Student","Multiplayer - online - with strangers"
3333,"League of Legends","having fun",6,"Male",18,"Student at college / university","None","USA","Multiplayer - online - with strangers",3,27,25,"USA","having fun","Student","Multiplayer - online - with strangers"
3334,"League of Legends","improving",15,"Male",24,"Unemployed / between jobs","High school diploma (or equivalent)","UK","Multiplayer - online - with online acquaintances or teammates",1,19,9,"GBR","improving","Unemployed","Multiplayer - online - with online acquaintances or teammates"
3335,"League of Legends","improving",38,"Male",18,"Student at school","None","USA","Multiplayer - online - with strangers",7,18,45,"USA","improving","Student","Multiplayer - online - with strangers"
3336,"League of Legends","having fun",25,"Male",21,"Student at college / university","High school diploma (or equivalent)","Denmark","usually i play online games with both real life friends and online mates.",0,27,15,"DNK","having fun","Student","Other"
3337,"League of Legends","improving",22,"Male",23,"Employed","Master (or equivalent)","France","Multiplayer - online - with strangers",4,27,18,"FRA","improving","Employed","Multiplayer - online - with strangers"
3338,"League of Legends","having fun",60,"Male",20,"Student at college / university","High school diploma (or equivalent)","Italy","Multiplayer - online - with real life friends",1,25,NA,"ITA","having fun","Student","Multiplayer - online - with real life friends"
3339,"League of Legends","winning",8,"Male",19,"Student at college / university","None","Portugal","Multiplayer - online - with strangers",1,25,8,"PRT","winning","Student","Multiplayer - online - with strangers"
3340,"League of Legends","winning",40,"Male",23,"Student at college / university","High school diploma (or equivalent)","Canada","Multiplayer - online - with strangers",3,10,44,"CAN","winning","Student","Multiplayer - online - with strangers"
3341,"League of Legends","improving",25,"Male",23,"Employed","Ph.D., Psy. D., MD (or equivalent)","France","Multiplayer - online - with real life friends",1,33,23,"FRA","improving","Employed","Multiplayer - online - with real life friends"
3342,"League of Legends","relaxing",42,"Male",23,"Unemployed / between jobs","High school diploma (or equivalent)","Croatia","Multiplayer - online - with strangers",8,13,21,"HRV","relaxing","Unemployed","Multiplayer - online - with strangers"
3343,"League of Legends","relaxing",17,"Male",18,"Student at school","High school diploma (or equivalent)","Estonia","Multiplayer - online - with strangers",12,9,45,"EST","relaxing","Student","Multiplayer - online - with strangers"
3344,"League of Legends","having fun",12,"Male",28,"Student at college / university","Master (or equivalent)","Germany","Multiplayer - online - with real life friends",1,31,2,"DEU","having fun","Student","Multiplayer - online - with real life friends"
3345,"League of Legends","having fun",25,"Male",18,"Student at school","None","Finland","Multiplayer - online - with strangers",5,19,34,"FIN","having fun","Student","Multiplayer - online - with strangers"
3346,"League of Legends","relaxing",22,"Male",24,"Student at college / university","Master (or equivalent)","Netherlands","Multiplayer - online - with strangers",10,13,18,"NLD","relaxing","Student","Multiplayer - online - with strangers"
3347,"League of Legends","improving",34,"Male",19,"Student at college / university","High school diploma (or equivalent)","Croatia","Multiplayer - online - with strangers",9,12,16,"HRV","improving","Student","Multiplayer - online - with strangers"
3348,"League of Legends","improving",19,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",5,25,9,"USA","improving","Student","Multiplayer - online - with real life friends"
3349,"League of Legends","improving",20,"Male",18,"Unemployed / between jobs","High school diploma (or equivalent)","Canada","Multiplayer - online - with strangers",5,8,36,"CAN","improving","Unemployed","Multiplayer - online - with strangers"
3350,"League of Legends","improving",70,"Male",22,"Student at college / university","High school diploma (or equivalent)","Sweden","Multiplayer - online - with strangers",4,20,9,"SWE","improving","Student","Multiplayer - online - with strangers"
3351,"League of Legends","winning",25,"Male",24,"Student at college / university","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",6,23,36,"USA","winning","Student","Multiplayer - online - with real life friends"
3352,"Other","improving",15,"Male",19,"Student at college / university","High school diploma (or equivalent)","Turkey","Multiplayer - online - with online acquaintances or teammates",6,19,6,"TUR","improving","Student","Multiplayer - online - with online acquaintances or teammates"
3353,"League of Legends","improving",32,"Male",26,"Student at college / university","Bachelor (or equivalent)","Germany","Multiplayer - online - with online acquaintances or teammates",0,28,14,"DEU","improving","Student","Multiplayer - online - with online acquaintances or teammates"
3354,"League of Legends","having fun",14,"Male",19,"Student at college / university","High school diploma (or equivalent)","Costa Rica","Multiplayer - online - with real life friends",0,22,6,"CRI","having fun","Student","Multiplayer - online - with real life friends"
3355,"League of Legends","winning",100,"Male",18,"Unemployed / between jobs","High school diploma (or equivalent)","Brazil","Multiplayer - online - with online acquaintances or teammates",1,21,10,"BRA","winning","Unemployed","Multiplayer - online - with online acquaintances or teammates"
3356,"League of Legends","improving",40,"Male",28,"Employed","None","Estonia","Multiplayer - online - with strangers",3,27,32,"EST","improving","Employed","Multiplayer - online - with strangers"
3357,"League of Legends","having fun",27,"Male",20,"Student at college / university","High school diploma (or equivalent)","Greece","Multiplayer - online - with strangers",13,14,18,"GRC","having fun","Student","Multiplayer - online - with strangers"
3358,"League of Legends","improving",35,"Male",25,"Unemployed / between jobs","Master (or equivalent)","Greece","Multiplayer - online - with strangers",1,12,17,"GRC","improving","Unemployed","Multiplayer - online - with strangers"
3359,"League of Legends","improving",19,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",3,21,37,"USA","improving","Student","Multiplayer - online - with strangers"
3360,"League of Legends","improving",19,"Female",23,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",7,18,29,"USA","improving","Employed","Multiplayer - online - with real life friends"
3361,"League of Legends","having fun",12,"Male",24,"Student at college / university","Master (or equivalent)","UK","Multiplayer - online - with strangers",0,28,3,"GBR","having fun","Student","Multiplayer - online - with strangers"
3362,"Other","having fun",20,"Male",23,"Employed","Master (or equivalent)","USA","Multiplayer - online - with real life friends",0,33,16,"USA","having fun","Employed","Multiplayer - online - with real life friends"
3363,"Hearthstone","improving",25,"Male",19,"Unemployed / between jobs","High school diploma (or equivalent)","UK","Multiplayer - online - with real life friends",2,15,37,"GBR","improving","Unemployed","Multiplayer - online - with real life friends"
3364,"League of Legends","having fun",30,"Male",27,"Employed","Master (or equivalent)","Morocco","Multiplayer - online - with strangers",0,24,8,"MAR","having fun","Employed","Multiplayer - online - with strangers"
3366,"World of Warcraft","improving",30,"Male",21,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",7,24,35,"USA","improving","Student","Multiplayer - online - with online acquaintances or teammates"
3367,"League of Legends","winning",18,"Male",25,"Employed","Master (or equivalent)","France","Multiplayer - online - with online acquaintances or teammates",5,27,8,"FRA","winning","Employed","Multiplayer - online - with online acquaintances or teammates"
3368,"League of Legends","improving",30,"Male",24,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",3,13,27,"DEU","improving","Student","Multiplayer - online - with strangers"
3369,"League of Legends","having fun",36,"Male",25,"Student at college / university","Ph.D., Psy. D., MD (or equivalent)","Serbia","Multiplayer - online - with strangers",1,25,3,"SRB","having fun","Student","Multiplayer - online - with strangers"
3370,"League of Legends","relaxing",20,"Male",19,"Student at school","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",12,18,NA,"DEU","relaxing","Student","Multiplayer - online - with strangers"
3371,"League of Legends","having fun",40,"Male",23,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",11,11,42,"DEU","having fun","Student","Multiplayer - online - with real life friends"
3372,"League of Legends","having fun",27,"Male",18,"Unemployed / between jobs","High school diploma (or equivalent)","Netherlands","Singleplayer",11,16,18,"NLD","having fun","Unemployed","Singleplayer"
3373,"League of Legends","improving",20,"Male",22,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",2,20,20,"DEU","improving","Student","Multiplayer - online - with strangers"
3374,"Diablo 3","improving",27,"Male",23,"Student at college / university","High school diploma (or equivalent)","Spain","Singleplayer",3,5,33,"ESP","improving","Student","Singleplayer"
3375,"League of Legends","having fun",33,"Male",22,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",0,30,7,"USA","having fun","Employed","Multiplayer - online - with real life friends"
3377,"League of Legends","winning",18,"Male",25,"Employed","Master (or equivalent)","France","Multiplayer - online - with online acquaintances or teammates",5,27,8,"FRA","winning","Employed","Multiplayer - online - with online acquaintances or teammates"
3379,"League of Legends","improving",22,"Male",42,"Employed","Master (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",5,27,33,"USA","improving","Employed","Multiplayer - online - with online acquaintances or teammates"
3380,"League of Legends","having fun",20,"Male",28,"Unemployed / between jobs","Bachelor (or equivalent)","Bulgaria","Multiplayer - online - with strangers",17,13,27,"BGR","having fun","Unemployed","Multiplayer - online - with strangers"
3381,"League of Legends","having fun",20,"Male",23,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with strangers",3,28,11,"NLD","having fun","Student","Multiplayer - online - with strangers"
3382,"League of Legends","having fun",16,"Female",27,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",17,16,64,"USA","having fun","Employed","Multiplayer - online - with online acquaintances or teammates"
3383,"League of Legends","winning",29,"Male",20,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",18,23,17,"USA","winning","Student","Multiplayer - online - with online acquaintances or teammates"
3384,"League of Legends","relaxing",12,"Male",18,"Student at school","None","Netherlands","Multiplayer - online - with real life friends",3,26,24,"NLD","relaxing","Student","Multiplayer - online - with real life friends"
3385,"League of Legends","improving",18,"Male",18,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",1,24,13,"DEU","improving","Student","Multiplayer - online - with strangers"
3386,"League of Legends","improving",50,"Male",21,"Employed","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",3,12,15,"DEU","improving","Employed","Multiplayer - online - with real life friends"
3387,"League of Legends","having fun",24,"Male",20,"Student at college / university","High school diploma (or equivalent)","UK","Multiplayer - online - with real life friends",11,10,37,"GBR","having fun","Student","Multiplayer - online - with real life friends"
3388,"League of Legends","winning",40,"Male",20,"Student at college / university","High school diploma (or equivalent)","Italy","Multiplayer - online - with strangers",0,25,8,"ITA","winning","Student","Multiplayer - online - with strangers"
3389,"League of Legends","having fun",13,"Male",27,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with strangers",4,10,14,"NLD","having fun","Student","Multiplayer - online - with strangers"
3390,"League of Legends","having fun",50,"Male",18,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",0,25,16,"USA","having fun","Student","Multiplayer - online - with real life friends"
3391,"League of Legends","having fun",41,"Female",18,"Student at college / university","High school diploma (or equivalent)","Brazil","Multiplayer - online - with real life friends",21,9,55,"BRA","having fun","Student","Multiplayer - online - with real life friends"
3392,"League of Legends","improving",38,"Male",21,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",4,13,40,"USA","improving","Student","Multiplayer - online - with online acquaintances or teammates"
3393,"League of Legends","having fun",40,"Male",24,"Employed","None","Netherlands","Multiplayer - online - with real life friends",2,20,5,"NLD","having fun","Employed","Multiplayer - online - with real life friends"
3394,"League of Legends","improving",23,"Male",19,"Employed","High school diploma (or equivalent)","Australia","Multiplayer - online - with real life friends",0,18,2,"AUS","improving","Employed","Multiplayer - online - with real life friends"
3395,"League of Legends","improving",17,"Male",18,"Student at school","None","USA","Multiplayer - online - with real life friends",3,23,2,"USA","improving","Student","Multiplayer - online - with real life friends"
3396,"League of Legends","winning",45,"Male",19,"Unemployed / between jobs","High school diploma (or equivalent)","Brazil","Multiplayer - online - with strangers",2,13,30,"BRA","winning","Unemployed","Multiplayer - online - with strangers"
3397,"Counter Strike","having fun",35,"Male",19,"Student at college / university","High school diploma (or equivalent)","Germany","Multplayer - with RL friends and friends of RL friends",2,27,8,"DEU","having fun","Student","Other"
3398,"Counter Strike","winning",35,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",2,21,30,"USA","winning","Student","Multiplayer - online - with real life friends"
3399,"League of Legends","improving",50,"Male",20,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",8,25,11,"USA","improving","Student","Multiplayer - online - with real life friends"
3400,"League of Legends","having fun",16,"Male",24,"Unemployed / between jobs","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",3,7,8,"USA","having fun","Unemployed","Multiplayer - online - with strangers"
3401,"League of Legends","having fun",40,"Male",22,"Unemployed / between jobs","Bachelor (or equivalent)","Belgium","Multiplayer - online - with strangers",11,7,5,"BEL","having fun","Unemployed","Multiplayer - online - with strangers"
3402,"League of Legends","having fun",22,"Male",24,"Student at college / university","Master (or equivalent)","Singapore","Multiplayer - online - with real life friends",3,31,17,"SGP","having fun","Student","Multiplayer - online - with real life friends"
3404,"League of Legends","improving",60,"Male",21,"Unemployed / between jobs","High school diploma (or equivalent)","Finland","Multiplayer - online - with strangers",8,22,19,"FIN","improving","Unemployed","Multiplayer - online - with strangers"
3405,"Other","improving",92,"Male",20,"Unemployed / between jobs","Bachelor (or equivalent)","Australia","Multiplayer - online - with online acquaintances or teammates",13,15,25,"AUS","improving","Unemployed","Multiplayer - online - with online acquaintances or teammates"
3406,"League of Legends","improving",29,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",0,30,3,"USA","improving","Student","Multiplayer - online - with strangers"
3407,"League of Legends","having fun",21,"Male",19,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",4,8,37,"DEU","having fun","Student","Multiplayer - online - with strangers"
3408,"League of Legends","having fun",80,"Female",20,"Unemployed / between jobs","High school diploma (or equivalent)","UK","Singleplayer",7,26,65,"GBR","having fun","Unemployed","Singleplayer"
3409,"League of Legends","improving",65,"Male",18,"Student at school","Master (or equivalent)","Finland","Multiplayer - online - with real life friends",12,11,2,"FIN","improving","Student","Multiplayer - online - with real life friends"
3410,"League of Legends","winning",55,"Male",20,"Student at college / university","None","USA","Multiplayer - online - with strangers",9,19,15,"USA","winning","Student","Multiplayer - online - with strangers"
