"playernum","Game","whyplay","Weekly_Hours","Gender","Age","Work","Degree","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Residence_ISO3","motivation","occupation","styleofplay"
10966,"League of Legends","improving",50,"Male",21,"Unemployed / between jobs","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",1,23,15,"USA","improving","Unemployed","Multiplayer - online - with real life friends"
10967,"Other","having fun",57,"Male",20,"Student at college / university","High school diploma (or equivalent)","Slovenia","Multiplayer - online - with online acquaintances or teammates",12,17,49,"SVN","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
10968,"League of Legends","improving",23,"Female",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",10,22,NA,"USA","improving","Student","Multiplayer - online - with real life friends"
10969,"League of Legends","having fun",40,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",6,29,16,"USA","having fun","Student","Multiplayer - online - with strangers"
10971,"League of Legends","having fun",20,"Male",18,"Student at school","None","USA","Multiplayer - online - with online acquaintances or teammates",2,25,19,"USA","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
10972,"League of Legends","having fun",23,"Male",18,"Student at school","None","Colombia","Multiplayer - online - with real life friends",6,14,45,"COL","having fun","Student","Multiplayer - online - with real life friends"
10973,"League of Legends","improving",30,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",3,18,42,"USA","improving","Student","Multiplayer - online - with strangers"
10974,"League of Legends","improving",27,"Male",23,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",1,16,8,"USA","improving","Employed","Multiplayer - online - with real life friends"
10975,"League of Legends","improving",30,"Male",19,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with online acquaintances or teammates",6,21,8,"NLD","improving","Student","Multiplayer - online - with online acquaintances or teammates"
10976,"League of Legends","having fun",32,"Male",21,"Student at college / university","High school diploma (or equivalent)","Canada","Multiplayer - online - with strangers",5,19,20,"CAN","having fun","Student","Multiplayer - online - with strangers"
10977,"League of Legends","having fun",25,"Male",24,"Unemployed / between jobs","Bachelor (or equivalent)","USA","Multiplayer - offline (people in the same room)",1,13,13,"USA","having fun","Unemployed","Multiplayer - offline (people in the same room)"
10978,"League of Legends","improving",25,"Male",21,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",2,28,8,"USA","improving","Student","Multiplayer - online - with real life friends"
10979,"League of Legends","improving",20,"Male",22,"Employed","High school diploma (or equivalent)","Australia","Singleplayer",0,32,2,"AUS","improving","Employed","Singleplayer"
10980,"Other","having fun",25,"Male",20,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",8,27,34,"DEU","having fun","Student","Multiplayer - online - with real life friends"
10981,"League of Legends","having fun",22,"Male",18,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",1,16,14,"USA","having fun","Student","Multiplayer - online - with real life friends"
10982,"League of Legends","having fun",17,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",7,9,47,"USA","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
10983,"League of Legends","improving",24,"Male",24,"Employed","High school diploma (or equivalent)","Brazil","Multiplayer - online - with online acquaintances or teammates",12,10,30,"BRA","improving","Employed","Multiplayer - online - with online acquaintances or teammates"
10984,"League of Legends","improving",35,"Female",18,"Student at school","None","USA","Multiplayer - online - with strangers",4,17,20,"USA","improving","Student","Multiplayer - online - with strangers"
10985,"League of Legends","improving",12,"Female",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer with both real life friends and online strangers/friends",15,8,39,"USA","improving","Student","Other"
10986,"League of Legends","having fun",20,"Male",24,"Employed","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",1,30,13,"DEU","having fun","Employed","Multiplayer - online - with real life friends"
10987,"League of Legends","having fun",40,"Male",18,"Student at school","High school diploma (or equivalent)","Czech Republic","Singleplayer",4,8,25,"CZE","having fun","Student","Singleplayer"
10988,"League of Legends","improving",33,"Male",21,"Unemployed / between jobs","High school diploma (or equivalent)","Italy","Multiplayer - online - with strangers",15,23,45,"ITA","improving","Unemployed","Multiplayer - online - with strangers"
10989,"League of Legends","having fun",22,"Male",26,"Employed","Bachelor (or equivalent)","Australia","Multiplayer - online - with strangers",1,23,4,"AUS","having fun","Employed","Multiplayer - online - with strangers"
10990,"League of Legends","having fun",9,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",3,28,10,"USA","having fun","Student","Multiplayer - online - with real life friends"
10991,"Starcraft 2","having fun",30,"Male",27,"Student at college / university","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",7,22,29,"USA","having fun","Student","Multiplayer - online - with real life friends"
10992,"League of Legends","having fun",28,"Male",20,"Employed","High school diploma (or equivalent)","UK","Multiplayer - online - with real life friends",11,28,25,"GBR","having fun","Employed","Multiplayer - online - with real life friends"
10993,"League of Legends","having fun",40,"Male",18,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",1,26,11,"USA","having fun","Student","Multiplayer - online - with real life friends"
10994,"Other","having fun",7,"Male",21,"Employed","Bachelor (or equivalent)","Denmark","Singleplayer",2,14,22,"DNK","having fun","Employed","Singleplayer"
10995,"League of Legends","winning",55,"Male",21,"Employed","Bachelor (or equivalent)","Canada","Multiplayer - online - with real life friends",0,35,0,"CAN","winning","Employed","Multiplayer - online - with real life friends"
